RowNum,Session Id,Game Id,Balance Value,Team Balance Value,Red Team K/D Ratio,Blue Team K/D Ratio,The red team,Neither team,The blue team,The red team,Neither team,The blue team,Yes,Unsure,No
1,1,1,0.04642857,0.5,0.3333333,3,0,0,6,0,5,1,1,2,3
2,1,3,0.06547619,0.4166667,0.2631579,3.8,0,0,6,0,5,1,0,1,5
3,2,5,0.1440476,0.8253968,0.7027027,1.423077,0,1,5,0,6,0,1,3,2
4,2,7,0.2706349,0.8421053,0.7272727,1.375,0,1,5,0,6,0,1,3,2
5,3,9,0.03095238,0.8292683,1.411765,0.7083333,0,2,4,0,6,0,2,4,0
6,3,11,0.1428571,0.6486486,2.083333,0.48,6,0,0,1,5,0,1,0,5
7,4,13,0.0452381,0.7906977,1.529412,0.6538461,5,1,0,0,6,0,0,2,4
8,4,15,0.1333333,0.8,1.5,0.6666667,6,0,0,0,6,0,0,2,4
9,5,18,0.6638889,0.9803922,0.9615384,1.04,4,2,0,0,6,0,3,1,2
10,5,22,0.102381,0.84375,0.7297297,1.37037,0,1,5,0,6,0,4,2,0
11,6,24,0.3857143,0.8688524,1.301887,0.7681159,6,0,0,0,5,1,1,2,3
12,6,26,0.2011905,0.9230769,1.166667,0.8571429,4,2,0,0,6,0,3,1,2
