RowNum,Session Id,Game Id,Balance Value,Team Balance Value,Red Team K/D Ratio,Blue Team K/D Ratio,The red team,Neither team,The blue team,The red team,Neither team,The blue team,Yes,Unsure,No
1,1,2,0.1083333,0.5079365,0.3404255,2.9375,0,0,6,5,1,0,1,3,2
2,1,4,0.1630952,0.4864865,0.3214286,3.111111,0,0,6,3,2,1,0,3,3
3,2,6,0.9361111,0.8450704,0.7317073,1.366667,1,3,2,2,3,1,5,1,0
4,2,8,0.04285714,0.4444444,0.2857143,3.5,0,0,6,2,3,1,1,0,5
5,3,10,0.6277778,0.7333333,1.727273,0.5789474,4,1,0,3,2,0,2,0,3
6,3,12,0.7722222,0.75,1.666667,0.6,6,0,0,1,0,5,3,1,2
7,4,14,0.4869048,0.9354839,0.8787879,1.137931,1,2,3,1,2,3,3,2,1
8,4,17,0.9972222,0.8455285,1.365385,0.7323943,2,3,1,0,2,4,4,2,0
9,5,21,0.7793651,0.9690722,0.94,1.06383,2,4,0,0,6,0,6,0,0
10,5,23,0.7642857,0.969697,0.9411765,1.0625,0,4,2,1,3,2,5,1,0
11,6,25,0.9777778,0.8780488,0.7826087,1.277778,0,5,1,0,2,4,5,1,0
12,6,27,0.6309524,1,1,1,0,3,3,1,0,5,3,1,2
